code	date	time	title	speaker	break	room	floor	attention	abstract	profile
	2010-08-27	12:30 - 13:20	開場・受付		true					
	2010-08-27	13:20 - 13:30	Opening			一橋記念講堂	2F			
17H01	2010-08-27	13:30 - 14:30	Using Git and GitHub to Develop One Million Times Faster	Scott Chacon (GitHub)		一橋記念講堂	2F		Git is the distributed version control system that is taking the software development world by storm.  GitHub is the Git social hosting website that is helping people share and collaborate on their code quickly and easily.  This talk will quickly introduce you to the Git tool and then demonstrate why it's features and structure can change your development life if you're still using Subversion or Perforce.  We will also cover how to use GitHub to take advantage of these features and new workflows that become available to collaborate on your open source projects.	Scott Chacon is a Git evangelist and Ruby developer employed at Logical Awesome working on GitHub.com. He is the author of the upcoming Pro Git book from Apress publishing, the Git Internals Peepcode PDF as well as the maintainer of the Git homepage (git-scm.com) and the Git Community Book. Scott has presented at RailsConf, RubyConf, Scotland on Rails, a number of local groups and has done corporate training on Git across the country.
	2010-08-27	14:30 - 14:40	休憩		true					
17H02	2010-08-27	14:40 - 16:10	Pragmatic Patterns of Ruby on Rails - 現場で役立つRuby on Railsパターン	大場 寧子(株式会社万葉)		一橋記念講堂	2F		Ruby on RailsによるWebアプリケーション開発では、繰り返しつかえる実装・設計のパターンがあります。特に、ある程度以上の人数で複雑なアプリケーションを開発する場合には、こういったパターンを共通認識にして進めていくと、規模の拡大に負けないメンテナンス性の高いコードを書きやすくなります。本プレゼンでは、例えば権限、RESTful、複雑なモデルの扱いといった課題に対して、RoRでの考え方・書き方のパターンをご紹介します。	プログラミングをこよなく愛するRailsエンジニア。共著に『Ruby on Rails 逆引きクイックリファレンス』。株式会社万葉 代表取締役社長。
17H03	2010-08-27	14:40 - 16:10	『エンタープライズRails』に学ぶ企業ユーザのためのRails活用の極意	高井 直人 (伊藤忠テクノソリューションズ株式会社 / Akasaka.rb)		一橋記念講堂	2F		業務アプリケーションで一番重要なものは、何でしょうか？　このセッションでは、Dan Chak氏の著書『エンタープライズRails』から、企業でのRails活用方法について、データ完全性をどのように実現するかという点を中心に学んでいきます。	ソフトウェアエンジニア。大学卒業後、Web制作会社などを経て、現在はシステムインテグレータに勤務。共著に『JavaプログラマのためのRuby入門』、その他雑誌連載など執筆記事多数。
17M01	2010-08-27	14:40 - 16:10	Railsエコシステムの研究	松田 明 (Asakusa.rb)		中会議場	2F		このセッションでは、「Railsアプリケーションの作り方」みたいな話は一切しません。「Railsがどうやって作られているか」または「Railsの作り方」について話します。 Ruby on Railsは、単にプロダクトとして高く評価されているというだけでなく、むしろそれを支える世界規模のコミュニティ、あるいはエコシステムの形成において、特異な発展を遂げています。というよりは、このユニークなエコシステムをドライブしてきたことこそが、Railsの躍進の原動力に他ならないと言えるでしょう。ここには何か、いまどきのオープンソースプロジェクトを成功に導くヒントがあるのではないでしょうか？そこで、本セッションでは、GitHub、Rails I18n、Merbとの合体、Rails Activists、Ruby 1.9のリリースとRuby処理系の多様化、といった近年の話題をふまえつつ、Ruby on Rails 3.0のリリースを控えてこのエコシステムはこれからどのように進化していくのか、また、その中で我々はどういった形で参加や貢献ができるのか、を探ります。	フリーランスのRailsプログラマー、Railsコンサルタント、Railsコントリビューター。Asakusa.rbを主催しています。「あかさか」じゃないよ、「あさくさ」だよ！
17M02	2010-08-27	14:40 - 16:10	Using Adhearsion to Voice Enable your Ruby Applications	Jason Goecke(Partner at Adhearsion)		中会議場	2F		Adhearsion ([[http://adhearsion.com|http://adhearsion.com/]]) is a Ruby-based framework, installable as a gem, that provides a comprehensive development environment for developing voice enabled applications using a jargon free DSL. Further, Adhearsion integrates with Rails in various ways, extending Rails seamlessly into the voice world.  We will provide an overview of why Adhearsion was created, how it works and then provide a tutorial on developing your first application.	Jason is the operationalizer, organizer, co-pilot, co-evangelist and lead business developer of Adhearsion. He brings extensive experience in telecoms and enterprise call centers having been an original employee of the leading CTI company, Genesys, where he is an inventor on multiple patents. He enjoys his family, sailing and of course all that is technology.
17S01	2010-08-27	14:40 - 16:10	Rubyの数	後藤 謙太郎 (株式会社シングラム)		特別会議室	1F		Ruby 1.9 において数を表すクラスは実装が大きく変化し著しく性能が向上しています。しかしそれほど話題にはなっていないように見えます。数に関する議論は専門的になりがちなことや、各人の背景知識によって焦点や理想像が違うためかもしれません。本発表では、1.9で起こっている数の変化を概観し、他の言語との対比や、立場の違いなどを検討したうえで、今後の方向性を考えます。	代表作は benchmark.rb。秘密は Precision モジュール。現在はウェブのデザインとシステム構築を主に手がける会社のエンジニア。
17S02	2010-08-27	14:40 - 16:10	Ruby の標準乱数生成器とその改良案	村田賢太 (Ruby 札幌)		特別会議室	1F		Ruby の標準乱数生成器とその欠点について述べ、それに対する改良案を示します。	札幌在住の日本人 Rubyist。好きな果物はりんご (ふじ)。好きなコンピュータは Mac。
